filename,codepoint,sagitype,smufl_class,sagispeak
accSagittalFlat7CUp.png,U+E313,!!),accSagittalFlat7CUp,taiflat
accSagittalFlat5v19CUp.png,U+E379,)!!),accSagittalFlat5v19CUp,praiflat
accSagittalFlat5CUp.png,U+E315,!!/,accSagittalFlat5CUp,paiflat
accSagittalFlat19CUp.png,U+E3B7,(!!,accSagittalFlat19CUp,razaiflat
accSagittalFlat11v49CUp.png,U+E3B9,~!!),accSagittalFlat11v49CUp,shaiflat
accSagittalFlat23CUp.png,U+E37B,\!!~,accSagittalFlat23CUp,zaiflat
accSagittalFlat17CUp.png,U+E351,(!!(,accSagittalFlat17CUp,sanaiflat
accSagittalFlat143CUp.png,U+E3BB,~!!/,accSagittalFlat143CUp,slaiflat
accSagittalFlat7v11kUp.png,U+E353,\\!!,accSagittalFlat7v11kUp,ranaiflat
accSagittalFlat17kUp.png,U+E3BD,)\\!!,accSagittalFlat17kUp,saiflat
accSagittalFlat5v7kUp.png,U+E317,\!!),accSagittalFlat5v7kUp,naiflat
accSagittalFlat19sUp.png,U+E3BF,(!!~,accSagittalFlat19sUp,raiflat
accSagittalFlat.png,U+E319,\!!/,accSagittalFlat,flat
accSagittalFlat19sDown.png,U+E3C1,)!!!,accSagittalFlat19sDown,raoflat
accSagittalFlat5v7kDown.png,U+E31D,!!!(,accSagittalFlat5v7kDown,naoflat
accSagittalFlat17kDown.png,U+E3C3,~!!!,accSagittalFlat17kDown,saoflat
accSagittalFlat7v11kDown.png,U+E355,)!!!(,accSagittalFlat7v11kDown,ranaoflat
accSagittalFlat143CDown.png,U+E3C5,)~!!!,accSagittalFlat143CDown,slaoflat
accSagittalFlat17CDown.png,U+E357,~!!!(,accSagittalFlat17CDown,sanaoflat
accSagittalFlat23CDown.png,U+E37D,!!!~,accSagittalFlat23CDown,zaoflat
accSagittalFlat11v49CDown.png,U+E3C7,~~!!!,accSagittalFlat11v49CDown,shaoflat
accSagittalFlat19CDown.png,U+E3C9,)!!!~,accSagittalFlat19CDown,razaoflat
accSagittalFlat5CDown.png,U+E31F,\!!!,accSagittalFlat5CDown,paoflat
accSagittalFlat5v19CDown.png,U+E37F,)\!!!,accSagittalFlat5v19CDown,praoflat
accSagittalFlat7CDown.png,U+E321,!!!),accSagittalFlat7CDown,taoflat
accSagittalFlat7v19CDown.png,U+E3CB,)!!!),accSagittalFlat7v19CDown,rataoflat
accSagittalFlat55CDown.png,U+E359,!!!/,accSagittalFlat55CDown,kaoflat
accSagittalFlat7v11CDown.png,U+E35B,(!!!,accSagittalFlat7v11CDown,jaoflat
accSagittalFlat49SDown.png,U+E3CD,~!!!),accSagittalFlat49SDown,sataoflat
accSagittalFlat5v23SDown.png,U+E381,\!!!~,accSagittalFlat5v23SDown,pazaoflat
accSagittalFlat5v11SDown.png,U+E35D,(!!!(,accSagittalFlat5v11SDown,janaoflat
accSagittalFlat23SDown.png,U+E3CF,~!!!/,accSagittalFlat23SDown,sakaoflat
accSagittalFlat25SDown.png,U+E323,\\!!!,accSagittalFlat25SDown,faoflat
accSagittalFlat5v13MDown.png,U+E3D1,)\\!!!,accSagittalFlat5v13MDown,fraoflat
accSagittalFlat35MDown.png,U+E325,\!!!),accSagittalFlat35MDown,gaoflat
accSagittalFlat11v19MDown.png,U+E3D3,(!!!~,accSagittalFlat11v19MDown,jazaoflat
accSagittalFlat11MDown.png,U+E327,\!!!/,accSagittalFlat11MDown,vaoflat
accSagittalFlat49MDown.png,U+E3D5,(\!!!,accSagittalFlat49MDown,jpaoflat
accSagittalFlat5v49MDown.png,U+E3D7,)\!!!/,accSagittalFlat5v49MDown,vraoflat
accSagittalFlat49LDown.png,U+E3D9,!!!/),accSagittalFlat49LDown,ktaoflat
accSagittalFlat11LDown.png,U+E329,(!!!),accSagittalFlat11LDown,waoflat
accSagittalFlat11v19LDown.png,U+E3DB,!!!//,accSagittalFlat11v19LDown,chaoflat
accSagittalFlat35LDown.png,U+E32B,(!!!/,accSagittalFlat35LDown,daoflat
accSagittalFlat5v13LDown.png,U+E3DD,)!!!//,accSagittalFlat5v13LDown,rachaoflat
accSagittalDoubleFlat25SUp.png,U+E32D,)Y(,accSagittalDoubleFlat25SUp,faidoubleflat
accSagittalDoubleFlat23SUp.png,U+E3E1,)~Y,accSagittalDoubleFlat23SUp,sakaidoubleflat
accSagittalDoubleFlat5v11SUp.png,U+E35F,~Y(,accSagittalDoubleFlat5v11SUp,janaidoubleflat
accSagittalDoubleFlat5v23SUp.png,U+E383,Y~,accSagittalDoubleFlat5v23SUp,pazaidoubleflat
accSagittalDoubleFlat49SUp.png,U+E3E3,~~Y,accSagittalDoubleFlat49SUp,sataidoubleflat
accSagittalDoubleFlat7v11CUp.png,U+E361,)Y~,accSagittalDoubleFlat7v11CUp,jaidoubleflat
accSagittalDoubleFlat55CUp.png,U+E363,\Y,accSagittalDoubleFlat55CUp,kaidoubleflat
accSagittalDoubleFlat7v19CUp.png,U+E3E5,)\Y,accSagittalDoubleFlat7v19CUp,rataidoubleflat
accSagittalDoubleFlat7CUp.png,U+E32F,Y),accSagittalDoubleFlat7CUp,taidoubleflat
accSagittalDoubleFlat5v19CUp.png,U+E385,)Y),accSagittalDoubleFlat5v19CUp,praidoubleflat
accSagittalDoubleFlat5CUp.png,U+E331,Y/,accSagittalDoubleFlat5CUp,paidoubleflat
accSagittalDoubleFlat19CUp.png,U+E3E7,(Y,accSagittalDoubleFlat19CUp,razaidoubleflat
accSagittalDoubleFlat11v49CUp.png,U+E3E9,~Y),accSagittalDoubleFlat11v49CUp,shaidoubleflat
accSagittalDoubleFlat23CUp.png,U+E387,\Y~,accSagittalDoubleFlat23CUp,zaidoubleflat
accSagittalDoubleFlat17CUp.png,U+E365,(Y(,accSagittalDoubleFlat17CUp,sanaidoubleflat
accSagittalDoubleFlat143CUp.png,U+E3EB,~Y/,accSagittalDoubleFlat143CUp,slaidoubleflat
accSagittalDoubleFlat7v11kUp.png,U+E367,\\Y,accSagittalDoubleFlat7v11kUp,ranaidoubleflat
accSagittalDoubleFlat17kUp.png,U+E3ED,)\\Y,accSagittalDoubleFlat17kUp,saidoubleflat
accSagittalDoubleFlat5v7kUp.png,U+E333,\Y),accSagittalDoubleFlat5v7kUp,naidoubleflat
accSagittalDoubleFlat19sUp.png,U+E3EF,(Y~,accSagittalDoubleFlat19sUp,raidoubleflat
accSagittalDoubleFlat.png,U+E335,\Y/,accSagittalDoubleFlat,doubleflat
accSagittalAcute.png,U+E3F2,',accSagittalAcute,bi
accSagittal2MinasUp.png,U+E3F6,``,accSagittal2MinasUp,mimi
accSagittal1MinaUp.png,U+E3F4,`,accSagittal1MinaUp,mi
accSagittalShaftUp.png,U+E3F0,|,accSagittalShaftUp,ai
accSagittalShaftDown.png,U+E3F1,!,accSagittalShaftDown,ao
accSagittal1MinaDown.png,U+E3F5,",",accSagittal1MinaDown,mo
accSagittal2MinasDown.png,U+E3F7,",,",accSagittal2MinasDown,momo
accSagittalGrave.png,U+E3F3,.,accSagittalGrave,bo
accidentalWilsonPlus.png,U+E47B,,accidentalWilsonPlus,
accidentalWilsonMinus.png,U+E47C,,accidentalWilsonMinus,
accidentalDoubleFlat.png,U+E264,,accidentalDoubleFlat,doubleflat
accidentalFlat.png,U+E260,,accidentalFlat,flat
accidentalSharp.png,U+E262,,accidentalSharp,sharp
accidentalLargeDoubleSharp.png,U+E47D,,accidentalLargeDoubleSharp,doublesharp
accidentalQuarterToneSharpStein.png,U+E282,,accidentalQuarterToneSharpStein,
accidentalThreeQuarterTonesSharpStein.png,U+E283,,accidentalThreeQuarterTonesSharpStein,
accidentalNarrowReversedFlat.png,U+E284,,accidentalNarrowReversedFlat,
accidentalNarrowReversedFlatAndFlat.png,U+E285,,accidentalNarrowReversedFlatAndFlat,
